dataset_name,D,gamma,Errors_train,Errors_test,Resolution_time
titanic,2,0.0,140,36,0.1
titanic,2,0.2,47,20,10.1
titanic,2,0.4,46,20,10.2
titanic,2,0.6,47,16,10.2
titanic,2,0.8,59,18,10.1
titanic,2,1.0,55,21,10.2
titanic,3,0.0,140,36,0.5
titanic,3,0.2,51,20,10.1
titanic,3,0.4,47,21,10.1
titanic,3,0.6,62,22,10.1
titanic,3,0.8,83,27,10.1
titanic,3,1.0,201,50,10.1
titanic,4,0.0,140,36,2.6
titanic,4,0.2,140,36,10.1
titanic,4,0.4,62,19,10.2
titanic,4,0.6,140,36,10.3
titanic,4,0.8,161,46,10.2
titanic,4,1.0,201,50,10.2
iris,2,0.0,38,12,0.1
iris,2,0.2,1,0,0.2
iris,2,0.4,1,3,0.6
iris,2,0.6,1,3,1.1
iris,2,0.8,1,3,0.6
iris,2,1.0,1,3,0.9
iris,3,0.0,38,12,0.2
iris,3,0.2,0,0,0.3
iris,3,0.4,0,4,0.9
iris,3,0.6,0,1,0.7
iris,3,0.8,0,4,0.8
iris,3,1.0,0,3,1.3
iris,4,0.0,38,12,0.9
iris,4,0.2,0,8,0.8
iris,4,0.4,0,0,1.4
iris,4,0.6,0,0,1.3
iris,4,0.8,0,1,1.2
iris,4,1.0,0,0,7.0
seeds,2,0.0,53,17,0.2
seeds,2,0.2,1,1,0.3
seeds,2,0.4,0,0,0.4
seeds,2,0.6,0,1,1.4
seeds,2,0.8,0,1,1.1
seeds,2,1.0,0,1,0.9
seeds,3,0.0,53,17,0.3
seeds,3,0.2,0,0,0.8
seeds,3,0.4,0,2,2.6
seeds,3,0.6,0,0,3.2
seeds,3,0.8,0,1,1.7
seeds,3,1.0,0,1,3.9
seeds,4,0.0,53,17,1.2
seeds,4,0.2,0,4,2.0
seeds,4,0.4,0,7,7.3
seeds,4,0.6,1,6,10.1
seeds,4,0.8,0,2,5.4
seeds,4,1.0,109,31,10.2
wine,2,0.0,0,2,0.1
wine,2,0.2,0,1,0.3
wine,2,0.4,0,2,0.4
wine,2,0.6,0,1,0.4
wine,2,0.8,0,1,0.5
wine,2,1.0,0,1,0.4
wine,3,0.0,0,1,0.1
wine,3,0.2,0,2,1.0
wine,3,0.4,0,1,0.9
wine,3,0.6,0,2,1.0
wine,3,0.8,0,2,1.2
wine,3,1.0,0,1,1.2
wine,4,0.0,0,1,0.2
wine,4,0.2,0,1,2.1
wine,4,0.4,0,2,2.5
wine,4,0.6,0,2,5.4
wine,4,0.8,0,2,4.2
wine,4,1.0,0,2,3.9
penguins,2,0.0,0,1,0.1
penguins,2,0.2,0,1,0.2
penguins,2,0.4,0,1,0.4
penguins,2,0.6,0,1,0.4
penguins,2,0.8,0,1,0.5
penguins,2,1.0,0,1,0.6
penguins,3,0.0,0,1,0.1
penguins,3,0.2,0,1,0.7
penguins,3,0.4,0,1,0.9
penguins,3,0.6,0,1,1.2
penguins,3,0.8,0,2,8.4
penguins,3,1.0,0,1,4.7
penguins,4,0.0,0,1,0.7
penguins,4,0.2,0,1,1.8
penguins,4,0.4,0,1,7.6
penguins,4,0.6,0,1,0.8
penguins,4,0.8,159,32,10.1
penguins,4,1.0,159,32,10.2
